Time,Open,High,Low,Close,Volume
2021-08-03 08:00,1.39129,1.39248,1.39100,1.39128,2603
2021-08-03 09:00,1.39128,1.39172,1.39063,1.39146,2446
2021-08-03 10:00,1.39142,1.39350,1.39130,1.39349,1958
2021-08-03 11:00,1.39348,1.39385,1.39240,1.39322,2431
2021-08-03 12:00,1.39322,1.39322,1.39144,1.39216,4270
2021-08-03 13:00,1.39223,1.39244,1.38823,1.38863,7584
2021-08-03 14:00,1.38863,1.39059,1.38841,1.38923,6334
2021-08-03 15:00,1.38915,1.39079,1.38887,1.39050,4596
2021-08-03 16:00,1.39050,1.39180,1.39040,1.39166,2360
2021-08-03 17:00,1.39167,1.39178,1.39075,1.39091,1425
2021-08-03 18:00,1.39089,1.39176,1.39077,1.39147,1179
2021-08-03 19:00,1.39148,1.39187,1.39135,1.39183,1255
2021-08-03 20:00,1.39181,1.39185,1.39100,1.39140,1696
2021-08-03 21:00,1.39139,1.39158,1.39120,1.39127,397
2021-08-03 22:00,1.39127,1.39157,1.39097,1.39155,765
2021-08-03 23:00,1.39156,1.39176,1.39138,1.39167,591
2021-08-04 00:00,1.39166,1.39168,1.39000,1.39027,1473
2021-08-04 01:00,1.39027,1.39238,1.39024,1.39230,1435
2021-08-04 02:00,1.39229,1.39290,1.39195,1.39272,1131
2021-08-04 03:00,1.39271,1.39328,1.39237,1.39247,993
2021-08-04 04:00,1.39247,1.39282,1.39210,1.39266,859
2021-08-04 05:00,1.39266,1.39296,1.39212,1.39256,1069
2021-08-04 06:00,1.39251,1.39442,1.39217,1.39416,1744
2021-08-04 07:00,1.39417,1.39468,1.39320,1.39416,3678
2021-08-04 08:00,1.39416,1.39426,1.39180,1.39317,3050
2021-08-04 09:00,1.39318,1.39387,1.39213,1.39361,1986
2021-08-04 10:00,1.39360,1.39388,1.39225,1.39250,2097
2021-08-04 11:00,1.39251,1.39344,1.39182,1.39277,2651
2021-08-04 12:00,1.39278,1.39418,1.39228,1.39387,5160
2021-08-04 13:00,1.39386,1.39574,1.39338,1.39489,5142
2021-08-04 14:00,1.39488,1.39496,1.39007,1.39082,10544
2021-08-04 15:00,1.39082,1.39130,1.38998,1.39115,5609
2021-08-04 16:00,1.39115,1.39118,1.38931,1.38975,2865
2021-08-04 17:00,1.38977,1.39033,1.38963,1.39020,1783
2021-08-04 18:00,1.39020,1.39053,1.38882,1.38891,1188
2021-08-04 19:00,1.38893,1.38925,1.38870,1.38871,1560
2021-08-04 20:00,1.38872,1.38906,1.38854,1.38878,1899
2021-08-04 21:00,1.38877,1.38888,1.38865,1.38867,270
2021-08-04 22:00,1.38865,1.38881,1.38849,1.38873,381
2021-08-04 23:00,1.38869,1.38893,1.38857,1.38893,373
2021-08-05 00:00,1.38892,1.38975,1.38855,1.38867,1576
2021-08-05 01:00,1.38870,1.38939,1.38851,1.38894,1437
2021-08-05 02:00,1.38893,1.38896,1.38777,1.38844,1043
2021-08-05 03:00,1.38844,1.38916,1.38841,1.38903,1225
2021-08-05 04:00,1.38903,1.38929,1.38901,1.38904,556
2021-08-05 05:00,1.38905,1.38964,1.38899,1.38950,684
2021-08-05 06:00,1.38944,1.38988,1.38719,1.38985,3139
2021-08-05 07:00,1.38986,1.39243,1.38983,1.39240,5367
2021-08-05 08:00,1.39238,1.39239,1.39040,1.39149,3554
2021-08-05 09:00,1.39150,1.39275,1.39062,1.39177,3721
2021-08-05 10:00,1.39177,1.39287,1.39171,1.39227,3828
2021-08-05 11:00,1.39216,1.39459,1.39018,1.39245,11979
2021-08-05 12:00,1.39253,1.39396,1.39037,1.39052,5708
